Shear Rate,Shear Stress,Viscosity
9.99658835792541,18001.2516661733,1800.73951448663
20.0053380155563,20632.5172034092,1031.35059189528
49.9951030893326,30071.6892315075,601.492693749918
100.002367478371,39009.6606226638,390.087370992503
299.994941135406,55590.8573891409,185.30598275672
499.999676092148,63735.2717685699,127.470626114613
699.992249749184,70125.5013679527,100.180396844507
999.999352184296,76849.8957461864,76.849945530788
1999.98654306889,91133.9219572768,45.5672675764288
4999.97243832207,112309.390037525,22.4620018255971
